City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Dharchula,IN,40.87,clear sky,29.85,80.5333,अपि हिमाल होटल
536,Stillwater,US,41.56,clear sky,36.1156,-97.0584,Best Western Plus Cimarron Hotel & Suites
537,Naron,ES,56.01,overcast clouds,43.5167,-8.1528,PR Maragoto
539,Eyl,SO,74.89,overcast clouds,7.9803,49.8164,فندق ايل دابي
541,Almaznyy,RU,42.94,overcast clouds,48.0448,40.045,Зверево
542,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
543,Praya,CV,72.14,few clouds,14.9215,-23.5087,Casa Sodadi
544,Abu Dhabi,AE,66.22,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
546,Santa Cruz,BO,74.66,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
547,Ulladulla,AU,64.08,light rain,-35.35,150.4667,Hotel Marlin
548,Simao,CN,58.14,clear sky,22.7886,100.9748,Marvelous Land Hotel
549,Matara,LK,73.99,overcast clouds,5.9485,80.5353,Villa Palm Breeze
552,Port-De-Bouc,FR,44.62,clear sky,43.4,4.9833,B&B Hôtel
553,Barra Do Garcas,BR,72.86,light rain,-15.89,-52.2567,Pousada Portal
557,Abnub,EG,53.17,clear sky,27.2696,31.1511,University Guest House
558,Sambava,MG,74.84,overcast clouds,-14.2667,50.1667,Royal Sava Hôtel
561,Amuntai,ID,83.14,overcast clouds,-2.4177,115.2494,Grand Balqis Hotel
563,Ribnitz-Damgarten,DE,43.12,light rain,54.25,12.4667,Pension Fabricius
566,Bharatpur,IN,40.35,clear sky,27.2167,77.4833,Pelican
567,Goderich,CA,38.91,overcast clouds,43.7501,-81.7165,Hotel Bedford
568,Kawalu,ID,81.18,overcast clouds,-7.3817,108.2082,Hotel Surya
570,Terra Santa,BR,73.44,overcast clouds,-2.1042,-56.4869,Hotel Novo Horizonte
571,Kuryk,KZ,45.91,clear sky,43.2,51.65,Kuryk
572,Alta Floresta,BR,70.45,overcast clouds,-9.8756,-56.0861,Villas Hotel
573,San Luis,AR,68.88,clear sky,-33.295,-66.3356,Hotel Dos Venados
574,General Cepeda,MX,62.08,clear sky,25.3833,-101.45,Casa del maestro
576,Peshkopi,AL,44.92,broken clouds,41.685,20.4289,Reci
578,Palu,ID,87.71,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
579,Qatana,SY,44.44,overcast clouds,33.4354,36.0815,Yafour Hotel and Resortعنوان:
580,Honiara,SB,79.39,light rain,-9.4333,159.95,King Solomon Hotel
581,Mogadishu,SO,75.63,clear sky,2.0371,45.3438,SYL Hotel
582,Banjar,ID,83.84,broken clouds,-8.19,114.9675,Villa Banjar Beach
586,Panzhihua,CN,52.83,clear sky,26.5851,101.7128,木棉花酒店
589,Awbari,LY,49.15,clear sky,26.5921,12.7805,فندق اوباري
590,Wodonga,AU,82.96,clear sky,-36.1167,146.8833,Quest Apartments
591,Son La,VN,59.22,clear sky,21.3167,103.9,Khách sạn Mường Thanh Luxury Sơn La
593,Axim,GH,77.59,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
596,La Ciotat,FR,54.81,clear sky,43.1748,5.6045,La Rotonde
597,Iquitos,PE,77.04,few clouds,-3.7481,-73.2472,Marfil del Amazonas
598,Monrovia,LR,75.27,clear sky,6.3005,-10.7969,Bella Casa Hotel
600,Gualaquiza,EC,62.8,light rain,-3.4,-78.55,Hotel Internacional
602,Cidreira,BR,69.93,overcast clouds,-30.1811,-50.2056,Hotel Castelo
603,Ribe,DK,43.18,moderate rain,55.3305,8.7697,Hotel Ribe
606,Odweyne,SO,61.02,clear sky,9.4092,45.064,فندق المدينه
608,Saint-Leu,RE,77.83,broken clouds,-21.15,55.2833,Iloha Seaview Hôtel
610,Nabire,ID,84.96,broken clouds,-3.3667,135.4833,Hotel Anggrek
613,Bunda,TZ,62.8,clear sky,-2.05,33.8667,Landmasters Hotel
618,Lagoa Formosa,BR,68.02,overcast clouds,-18.7786,-46.4075,Hotel HS
619,Flinders,AU,68.38,overcast clouds,-34.5833,150.8552,Nova Kiama
620,Owen Sound,CA,36.97,light rain,44.5672,-80.9435,Best Western
621,Ishigaki,JP,68.14,overcast clouds,24.3448,124.1572,アートホテル石垣島
623,Shenzhen,CN,64.15,overcast clouds,22.5455,114.0683,Shenzhen International Elite Hotel
624,Izumo,JP,45.52,overcast clouds,35.3667,132.7667,ホテル武志山荘
625,Chipata,ZM,63.16,light rain,-13.6333,32.65,Kamocho Gueshouse
626,Pemangkat,ID,79.34,overcast clouds,1.1667,108.9667,Hotel Kelapa Gading
628,Cape Canaveral,US,75.27,clear sky,28.4058,-80.6048,Holiday Inn Club Vacations Cape Canaveral Beach Resort
632,Bowen,AU,82.96,broken clouds,-20.0167,148.2333,Whitsunday Sands Resort
633,Waingapu,ID,83.8,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
